SoftwareName;FQNClass;CollectionVariables;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodsDeclarationKeyword;ClassType;ScanCollectionsMethod;SCMCallsAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList;Role
JHotDraw60;org.jhotdraw.applet.DrawApplet.java;1;1;1;2;2;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.standard.AbstractTool.java;1;2;2;3;1;2;1;1;1;2;2;1;3
JHotDraw60;org.jhotdraw.figures.LineConnection.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\standard\AbstractTool.java;1;1;1;3;3;1;1;1;1;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\applet\DrawApplet.java;1;1;1;2;3;1;1;1;2;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\figures\GroupFigure.java;2;2;2;2;1;1;2;2;2;1;2;2;3
github.java-design-patterns;com.iluwatar.observer.generic.GOrcs.java;1;1;1;3;2;1;1;1;1;2;1;1;3
github.java-design-patterns;com.iluwatar.observer.generic.GHobbits.java;1;1;1;3;2;1;1;1;1;2;1;1;3
github.java-design-patterns;com.iluwatar.observer.Orcs.java;1;1;1;3;2;1;1;1;1;2;1;1;3
journaldev;com.journaldev.design.observer.MyTopicSubscriber.java;1;1;1;2;2;1;1;1;1;2;2;1;3
mrwebmaster;ConsoleObserver.java;1;1;1;2;2;1;1;1;1;2;1;1;3
mrwebmaster;TextAreaObserver.java;1;1;1;2;2;1;1;1;2;2;1;1;3
JUnit37;junit\swingui\TestSuitePanel.java;1;1;1;2;3;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.standard.ToolButton.java;1;1;1;2;3;1;1;1;2;2;2;1;3
QuickUML2001;diagram.DiagramUI.java (ModelHandler);1;1;1;2;3;1;1;1;1;2;1;1;3
dzone;User.java;1;1;1;2;2;1;1;1;1;2;1;1;3
tutorialspoint;BinaryObserver.java;1;1;1;2;2;1;1;2;1;1;1;1;3
JHotDraw v5.1;src/CH/ifa/draw/application/DrawApplication.java;1;1;1;2;1;1;1;1;2;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\standard\FigureChangeEventMulticaster.java;1;1;1;2;2;1;1;1;2;2;1;1;3
MapperXML197;com.taursys.swing.MComboBox.java;1;1;1;2;3;1;1;1;2;2;2;1;3
github.java-design-patterns;com.iluwatar.observer.Hobbits.java;1;1;1;3;2;1;1;1;1;2;1;1;3
JHotDraw v5.1;src\CH\ifa\draw\framework\Painter.java;1;1;1;3;3;3;1;1;2;1;1;1;4
JHotDraw v5.1;src/CH/ifa/draw/standard/BufferedUpdateStrategy.java;1;1;1;3;3;1;1;1;1;2;2;1;4
JHotDraw60;org.jhotdraw.framework.Figure.java;1;2;2;3;1;3;1;1;1;1;1;1;4
JUnit37;junit\framework\Test.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JUnit37;junit\textui\TestRunner.java;1;1;1;3;3;1;2;2;1;2;2;1;4
JHotDraw60;org.jhotdraw.standard.BufferedUpdateStrategy.java;1;1;1;3;3;1;1;1;1;2;2;1;4
JHotDraw60;org.jhotdraw.util.StorageFormat.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JHotDraw60;org.jhotdraw.util.StorageFormatManager.java;2;2;2;3;3;1;2;2;1;1;2;1;4
JHotDraw60; org.jhotdraw.standard.ChangeConnectionHandle;1;1;1;3;3;2;1;1;2;1;2;1;4
JUnit37;junit.awtui.ProgressBar.java;1;1;1;3;3;1;1;1;2;1;2;1;4
JUnit37;junit.framework.Protectable.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JHotDraw v5.1;CH.ifa.draw.samples.javadraw;1;1;1;3;3;1;1;1;2;1;2;1;4
JUnit37;junit\runner\BaseTestRunner.java;1;1;1;2;3;2;2;1;1;2;2;1;4
MapperXML197;com.taursys.xml.Container.java;2;2;2;3;3;1;2;1;2;1;2;1;4
JHotDraw v5.1;CH.ifa.draw.contrib.DiamondFigure.java;1;1;1;3;3;1;1;1;2;1;1;1;4
JUnit37;junit\swingui\TestRunContext.java;1;1;1;3;3;3;1;1;1;1;1;1;4
MapperXML197;com.taursys.beans.editors.FormtEditor.java;2;1;1;3;3;1;1;1;2;1;2;1;4
JHotDraw60;org.jhotdraw.framework.Painter.java;1;1;1;3;3;3;1;1;2;1;1;1;4
